LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS
-30.06194163,-51.1851264,R DR SALVADOR FRANCA,,CHOQUE,0,2001-01-01T01:11:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,1,1,2001,1,5
-30.05793541,-51.19555643,AV BENTO GONCALVES,,COLISAO,0,2001-01-01T02:30:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,1,1,2001,2,5
-30.07350858,-51.24136142,AV PADRE CACIQUE,,COLISAO,0,2001-01-01T03:30:00,SEGUNDA-FEIRA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2001,3,5
-30.06630296,-51.16935431,R PRIMEIRO DE MARCO,,COLISAO,0,2001-01-01T04:00:00,SEGUNDA-FEIRA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2001,4,5
-30.03503114,-51.20416695,R MARIANTE,,ABALROAMENTO,0,2001-01-01T04:18:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2001,4,1
-30.08660084,-51.23137263,R ARAPEI,R CRUZEIRO DO SUL,ATROPELAMENTO,0,2001-01-01T05:30:00,SEGUNDA-FEIRA,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2001,5,5
-30.0128131,-51.09803601,AV BALTAZAR DE OLIVEIRA GARCIA,,CAPOTAGEM,0,2001-01-01T06:30:00,SEGUNDA-FEIRA,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,1,1,2001,6,13
-30.0491749,-51.16805285,R ANGELO CRIVELLARO,R GRACILIANO RAMOS,EVENTUAL,0,2001-01-01T07:02:00,SEGUNDA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,CHUVOSO,DIA,LESTE,1,1,2001,7,1
-29.99808893,-51.20592102,R VOLUNTARIOS DA PATRIA,,CHOQUE,0,2001-01-01T07:06:00,SEGUNDA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,1,1,2001,7,1
-30.00316208,-51.19984307,AV FARRAPOS,,CHOQUE,0,2001-01-01T07:45:00,SEGUNDA-FEIRA,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,1,1,2001,7,5
