ID,LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS
1,-30.081436,-51.221,R ORFANOTROFIO,,CHOQUE,0,2011-10-07T10:00:00,SEXTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,7,10,2011,10,1
2,-30.050112,-51.217,R MARCILIO DIAS,R PROF FREITAS E CASTRO,ABALROAMENTO,0,2011-01-20T07:45:00,QUINTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,20,1,2011,7,1
3,-30.064002,-51.206,AV PROF OSCAR PEREIRA,,COLISAO,0,2011-09-21T14:20:00,QUARTA-FEIRA,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,21,9,2011,14,1
4,-30.028647,-51.205,R MOSTARDEIRO,,ABALROAMENTO,0,2011-10-13T09:50:00,QUINTA-FEIRA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NUBLADO,DIA,LESTE,13,10,2011,9,1
5,-30.025501,-51.204,R PADRE CHAGAS,,ABALROAMENTO,0,2011-05-12T19:20:00,QUINTA-FEIRA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,12,5,2011,19,5
6,-30.152782,-51.201,AV JUCA BATISTA,,QUEDA,0,2011-05-03T08:30:00,TERCA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,3,5,2011,8,5
7,-30.034273,-51.178,AV CARLOS GOMES,,COLISAO,0,2011-02-24T08:30:00,QUINTA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,CHUVOSO,DIA,LESTE,24,2,2011,8,1
8,-30.034273,-51.178,AV CARLOS GOMES,,CHOQUE,0,2011-03-03T20:50:00,QUINTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,3,3,2011,20,1
9,-29.970193,-51.115,AV ASSIS BRASIL,,ABALROAMENTO,0,2011-12-03T16:00:00,SABADO,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,BOM,DIA,NORTE,3,12,2011,16,13
10,-30.218279,-51.043059,ESTR ARMANDO INACIO DA SILVEIRA,,CAPOTAGEM,0,2011-12-13T07:01:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,13,12,2011,7,5
11,-30.231405,-51.059039,ESTR ARMANDO INACIO DA SILVEIRA,,ABALROAMENTO,0,2011-09-23T11:20:00,SEXTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,23,9,2011,11,1
12,-30.231635,-51.060461,ESTR DO VAREJAO,ESTR ARMANDO INACIO DA SILVEIRA,COLISAO,0,2011-04-24T03:00:00,DOMINGO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,24,4,2011,3,1
