ID,LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS
1,-30.0386761,-51.10438875,AV DELEGADO ELY CORREA PRADO,,CHOQUE,0,2004-01-01T02:30:00,QUINTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2004,2,5
2,-30.00797562,-51.17296985,AV ASSIS BRASIL,,ABALROAMENTO,0,2004-01-01T03:30:00,QUINTA-FEIRA,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,1,1,2004,3,1
3,-30.07172455,-51.13999607,AV BENTO GONCALVES,,CHOQUE,0,2004-01-01T04:00:00,QUINTA-FEIRA,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,1,1,2004,4,13
4,-30.061963,-51.16610615,AV BENTO GONCALVES,R ALBION,ABALROAMENTO,0,2004-01-01T04:15:00,QUINTA-FEIRA,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2004,4,5
5,-30.10432407,-51.17244833,AV PROF OSCAR PEREIRA,,CHOQUE,0,2004-01-01T05:00:00,QUINTA-FEIRA,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2004,5,5
6,-30.07172455,-51.13999607,AV BENTO GONCALVES,,CHOQUE,0,2004-01-01T05:15:00,QUINTA-FEIRA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2004,5,13
7,-30.05598391,-51.16953604,AV IPIRANGA,,CHOQUE,0,2004-01-01T05:20:00,QUINTA-FEIRA,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2004,5,5
8,-30.07175555,-51.14005407,AV BENTO GONCALVES,,COLISAO,0,2004-01-01T05:40:00,QUINTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,1,1,2004,5,1
9,-30.08591681,-51.23252963,R URSA MAIOR,,CHOQUE,0,2004-01-01T06:00:00,QUINTA-FEIRA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2004,6,5
10,-30.06222005,-51.16341312,AV BENTO GONCALVES,,ABALROAMENTO,0,2004-01-01T06:20:00,QUINTA-FEIRA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,1,1,2004,6,5
11,-30.08359681,-51.1810649,AV AMIR DOMINGUES,,CAPOTAGEM,0,2004-01-01T07:20:00,QUINTA-FEIRA,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,1,1,2004,7,5
12,-29.98785439,-51.12874076,AV MARTINS BASTOS,,ABALROAMENTO,0,2004-01-01T08:30:00,QUINTA-FEIRA,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,1,1,2004,8,5
13,-30.10047289,-51.12916167,ESTR AFONSO LOURENCO MARIANTE,,QUEDA,0,2004-01-01T10:50:00,QUINTA-FEIRA,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,DIA,LESTE,1,1,2004,10,5
14,-29.99242729,-51.13502196,TRAV DAVI JOSE ESTRELA,R XAVIER DE CARVALHO,CHOQUE,0,2004-01-01T13:00:00,QUINTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,BOM,DIA,NORTE,1,1,2004,13,5
15,-30.03605253,-51.23553038,R WASHINGTON LUIZ,,ABALROAMENTO,0,2004-01-01T15:30:00,QUINTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,BOM,DIA,CENTRO,1,1,2004,15,5
16,-30.0059595,-51.17879187,AV GEN EMILIO LUCIO ESTEVES,R SAO NICOLAU,COLISAO,0,2004-01-01T16:00:00,QUINTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,1,1,2004,16,1
17,-29.99234871,-51.11340268,AV FRANCISCO SILVEIRA BITENCOURT,R AFFONSO PAULO FEIJO,ABALROAMENTO,0,2004-01-01T18:38:00,QUINTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,1,1,2004,18,1
18,-30.02845663,-51.17723043,AV DR NILO PECANHA,AV SOCIEDADE LIBANESA,ATROPELAMENTO,0,2004-01-01T18:40:00,QUINTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2004,18,5
19,-30.19815934,-51.18017285,ESTR DA PONTA GROSSA,,ABALROAMENTO,0,2004-01-01T18:55:00,QUINTA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,BOM,NOITE,SUL,1,1,2004,18,5
20,-30.061948,-51.16622215,AV BENTO GONCALVES,,ABALROAMENTO,0,2004-01-01T19:00:00,QUINTA-FEIRA,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2004,19,5
21,-30.05110404,-51.21288548,AV PROF OSCAR PEREIRA,AV DA AZENHA,COLISAO,0,2004-01-01T19:30:00,QUINTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2004,19,1
22,-30.05724144,-51.19391639,R CEL VILLAGRAN CABRITA,,CHOQUE,0,2004-01-01T19:50:00,QUINTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,1,1,2004,19,5
23,-30.08321862,-51.24162068,AV CHUI,,CHOQUE,0,2004-01-02T00:30:00,SEXTA-FEIRA,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,2,1,2004,0,5
24,-30.02582986,-51.21607487,AV FARRAPOS,R GARIBALDI,ABALROAMENTO,0,2004-01-02T06:15:00,SEXTA-FEIRA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,BOM,NOITE,CENTRO,2,1,2004,6,1
25,-30.03252966,-51.22784019,R JERONIMO COELHO,AV BORGES DE MEDEIROS,ABALROAMENTO,0,2004-01-02T08:29:00,SEXTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,2,1,2004,8,1
26,-30.02971277,-51.22192204,R PROF ANNES DIAS,,ABALROAMENTO,0,2004-01-02T12:10:00,SEXTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,CENTRO,2,1,2004,12,1
27,-30.00753211,-51.19895918,AV BAHIA,,ABALROAMENTO,0,2004-01-02T13:30:00,SEXTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,NORTE,2,1,2004,13,5
28,-30.0142927,-51.11907032,AV DANTE ANGELO PILLA,,CHOQUE,0,2004-01-02T15:00:00,SEXTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,2,1,2004,15,1
29,-29.99984937,-51.13287012,AV SERTORIO,AV ASSIS BRASIL,ABALROAMENTO,0,2004-01-02T17:20:00,SEXTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,BOM,DIA,NORTE,2,1,2004,17,1
30,-30.02827771,-51.22459704,R DR FLORES,,ABALROAMENTO,0,2004-01-02T18:30:00,SEXTA-FEIRA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,BOM,DIA,CENTRO,2,1,2004,18,1
31,-30.02423336,-51.19035849,R EUDORO BERLINK,R SILVA JARDIM,ABALROAMENTO,0,2004-01-02T19:00:00,SEXTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,NOITE,NORTE,2,1,2004,19,1
32,-30.10248574,-51.23995815,R DR BARCELOS,R CAMAQUA,ABALROAMENTO,0,2004-01-02T19:30:00,SEXTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,2,1,2004,19,5
33,-30.02309895,-51.10847241,R DR VARGAS NETO,,ATROPELAMENTO,0,2004-01-02T21:10:00,SEXTA-FEIRA,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,NORTE,2,1,2004,21,5
34,-30.10304093,-51.23065205,AV DA CAVALHADA,,ATROPELAMENTO,0,2004-01-02T22:30:00,SEXTA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,2,1,2004,22,5
35,-30.04813512,-51.20785734,AV PRINCESA ISABEL,R SANTANA,ABALROAMENTO,0,2004-01-03T01:00:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,3,1,2004,1,1
36,-30.05392429,-51.20082639,R LUIZ DE CAMOES,,CHOQUE,0,2004-01-03T06:20:00,SABADO,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,3,1,2004,6,5
37,-30.04861386,-51.22162853,AV GETULIO VARGAS,,ABALROAMENTO,0,2004-01-03T08:00:00,SABADO,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,3,1,2004,8,5
