ID,LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS
1,-30.1550618382,-51.1447092742,R EUGENIO RODRIGUES,,ATROPELAMENTO,0,2008-01-01T01:00:00,TERCA-FEIRA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2008,1,13
2,-30.0421606074,-51.2329335068,AV AURELIANO DE FIGUEIREDO PINTO,AV AUGUSTO DE CARVALHO,QUEDA,0,2008-01-01T01:10:00,TERCA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,CENTRO,1,1,2008,1,5
3,-30.1560108748,-51.1430512772,ESTR JOAO ANTONIO SILVEIRA,,ATROPELAMENTO,0,2008-01-01T01:30:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2008,1,5
4,-30.0339236348,-51.1783325884,AV CARLOS GOMES,,ATROPELAMENTO,0,2008-01-01T01:35:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2008,1,5
5,-30.0155357779,-51.1153873007,AV BALTAZAR DE OLIVEIRA GARCIA,,CHOQUE,0,2008-01-01T01:35:00,TERCA-FEIRA,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,NORTE,1,1,2008,1,13
6,-30.0766941219,-51.2145681593,R SEPE TIARAJU,,ATROPELAMENTO,0,2008-01-01T02:10:00,TERCA-FEIRA,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2008,2,5
7,-30.088587118,-51.2175265043,AV NONOAI,,COLISAO,0,2008-01-01T02:15:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2008,2,1
8,-30.0726260022,-51.2197611217,R CRUZEIRO DO SUL,AV FRANCISCO MASSENA VIEIRA,ABALROAMENTO,0,2008-01-01T13:30:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,BOM,DIA,SUL,1,1,2008,13,1
9,-30.2174946049,-51.119843562,AV DO LAMI,,ABALROAMENTO,0,2008-01-01T13:45:00,TERCA-FEIRA,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,BOM,DIA,SUL,1,1,2008,13,13
10,-30.0480168354,-51.2226055241,AV IPIRANGA,,COLISAO,0,2008-01-01T16:20:00,TERCA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,1,1,2008,16,1
11,-30.0723169601,-51.2218501407,R BANCO INGLES,,COLISAO,0,2008-01-01T17:00:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,1,1,2008,17,5
12,-30.1536449936,-51.1364011297,ESTR JOAO ANTONIO SILVEIRA,,CAPOTAGEM,0,2008-01-01T19:05:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2008,19,1
13,-30.0066312165,-51.1934550813,R CAIRU,AV CEARA,COLISAO,0,2008-01-01T21:00:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,1,1,2008,21,1
14,-30.036106662,-51.2287282964,R DEMETRIO RIBEIRO,,ABALROAMENTO,0,2008-01-01T23:20:00,TERCA-FEIRA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,NOITE,CENTRO,1,1,2008,23,5
15,-30.0250998314,-51.2174908675,R VOLUNTARIOS DA PATRIA,,ABALROAMENTO,0,2008-01-02T01:26:00,QUARTA-FEIRA,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,BOM,NOITE,CENTRO,2,1,2008,1,5
16,-29.9727845939,-51.1148981957,AV ASSIS BRASIL,,COLISAO,0,2008-01-02T07:40:00,QUARTA-FEIRA,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,BOM,DIA,NORTE,2,1,2008,7,5
