ID,LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS
1,-30.0091941964,-51.1437725049,AV ASSIS BRASIL,,COLISAO,0,2007-01-01T02:00:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,NORTE,1,1,2007,2,5
2,-30.0081852995,-51.1382414074,R DONA ALZIRA,,CHOQUE,0,2007-01-01T07:00:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,1,1,2007,7,5
3,-30.0100223643,-51.1353454172,AV BALTAZAR DE OLIVEIRA GARCIA,,COLISAO,0,2007-01-01T08:18:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,1,1,2007,8,1
4,-30.0323132632,-51.1970217886,R CASTRO ALVES,R QUINTINO BOCAIUVA,ABALROAMENTO,0,2007-01-01T08:50:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,1,1,2007,8,1
5,-30.0575621339,-51.2095126007,R VICENTE DA FONTOURA,AV PROF OSCAR PEREIRA,ABALROAMENTO,0,2007-01-01T10:15:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,1,1,2007,10,1
6,-30.0331597803,-51.1193628054,R SEIS DE NOVEMBRO,,ABALROAMENTO,0,2007-01-01T16:50:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,NORTE,1,1,2007,16,5
7,-30.0440713968,-51.141589374,AV PROTASIO ALVES,,COLISAO,0,2007-01-01T17:20:00,SEGUNDA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,1,1,2007,17,1
8,-30.0566579138,-51.1692980568,R PROF CRISTIANO FISCHER,,ABALROAMENTO,0,2007-01-01T18:20:00,SEGUNDA-FEIRA,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,1,1,2007,18,5
9,-30.0445416111,-51.1820179094,R CAJU,,COLISAO,0,2007-01-01T19:00:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2007,19,1
10,-30.0693756684,-51.1848435858,AV SILVADO,,ABALROAMENTO,0,2007-01-01T20:40:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,1,1,2007,20,5
11,-30.1632578565,-51.1456704982,ESTR CHACARA DO BANCO,,ATROPELAMENTO,0,2007-01-01T21:45:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2007,21,5
12,-30.0409788431,-51.1692866529,AV PROTASIO ALVES,R JOAO PAETZEL,COLISAO,0,2007-01-01T21:50:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2007,21,1
13,-30.0328848302,-51.1680674288,R CARLOS HUBER,,CHOQUE,0,2007-01-01T22:00:00,SEGUNDA-FEIRA,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2007,22,13
14,-30.0511530394,-51.212873479,AV PROF OSCAR PEREIRA,,ATROPELAMENTO,0,2007-01-01T23:00:00,SEGUNDA-FEIRA,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,1,1,2007,23,5
15,-30.0916306513,-51.2421559018,R DR CAMPOS VELHO,AV ICARAI,CHOQUE,0,2007-01-02T07:30:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,2,1,2007,7,1
16,-30.0596334523,-51.193667449,R TOBIAS BARRETO,,CHOQUE,0,2007-01-02T07:40:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,LESTE,2,1,2007,7,1
17,-30.0443201469,-51.1031268821,AV PROTASIO ALVES,,CHOQUE,0,2007-01-02T09:00:00,TERCA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,DIA,LESTE,2,1,2007,9,5
18,-30.0874490606,-51.2202085097,AV CRUZ ALTA,AV QUARAI,EVENTUAL,0,2007-01-02T09:15:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,2,1,2007,9,1
19,-30.0561281027,-51.1594819161,AV IPIRANGA,AV JOAQUIM PORTO VILLANOVA,COLISAO,0,2007-01-02T09:20:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,LESTE,2,1,2007,9,1
20,-30.0594179909,-51.217276749,R JOSE DE ALENCAR,AV ERICO VERISSIMO,ABALROAMENTO,0,2007-01-02T09:30:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,BOM,DIA,SUL,2,1,2007,9,5
21,-30.006659934,-51.1566486063,AV BERNARDI,,CHOQUE,0,2007-01-02T09:45:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,2,1,2007,9,1
22,-30.022829915,-51.1613810835,R ANTONIO CARLOS BERTA,,ABALROAMENTO,0,2007-01-02T10:00:00,TERCA-FEIRA,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,LESTE,2,1,2007,10,5
23,-30.0177602742,-51.1930783629,AV CRISTOVAO COLOMBO,,ABALROAMENTO,0,2007-01-02T10:30:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,2,1,2007,10,1
24,-30.0000920857,-51.1986469801,AV FARRAPOS,AV SERTORIO,COLISAO,0,2007-01-02T10:40:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,NORTE,2,1,2007,10,1
25,-30.0517548148,-51.2245256453,AV GANZO,R MUCIO TEIXEIRA,COLISAO,0,2007-01-02T10:50:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,2,1,2007,10,1
26,-30.0284500394,-51.207600826,PCA JULIO DE CASTILHOS,R VINTE QUATRO DE OUTUBRO,ABALROAMENTO,0,2007-01-02T11:45:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,2,1,2007,11,1
27,-29.9937440997,-51.1964547885,TRAV VENEZUELA,,CHOQUE,0,2007-01-02T12:10:00,TERCA-FEIRA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,BOM,DIA,NORTE,2,1,2007,12,1
28,-30.015599148,-51.147742721,AV BENNO MENTZ,,ABALROAMENTO,0,2007-01-02T13:30:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,NORTE,2,1,2007,13,1
29,-30.0660051539,-51.2104478304,R CEL NEVES,AV GEN GOMES CARNEIRO,ABALROAMENTO,0,2007-01-02T13:40:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,2,1,2007,13,1
30,-30.0415481895,-51.1516434392,AV PROTASIO ALVES,,EVENTUAL,0,2007-01-02T13:55:00,TERCA-FEIRA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,BOM,DIA,LESTE,2,1,2007,13,5
31,-30.0263318058,-51.21909092,R VOLUNTARIOS DA PATRIA,,ATROPELAMENTO,0,2007-01-02T14:00:00,TERCA-FEIRA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BOM,DIA,CENTRO,2,1,2007,14,5
32,-30.039749695,-51.1765977159,AV PROTASIO ALVES,,COLISAO,0,2007-01-02T14:10:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,2,1,2007,14,1
33,-30.0645611122,-51.2122478165,AV DR CARLOS BARBOSA,,ABALROAMENTO,0,2007-01-02T14:25:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,2,1,2007,14,5
34,-30.0614469444,-51.2201328383,R CORREA LIMA,,COLISAO,0,2007-01-02T14:45:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,2,1,2007,14,1
35,-30.0266257961,-51.2196569348,R DA CONCEICAO,AV FARRAPOS,ABALROAMENTO,0,2007-01-02T14:45:00,TERCA-FEIRA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,BOM,DIA,CENTRO,2,1,2007,14,1
36,-30.0247157501,-51.2215709104,R CEL VICENTE,,ATROPELAMENTO,0,2007-01-02T14:46:00,TERCA-FEIRA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BOM,DIA,CENTRO,2,1,2007,14,5
37,-30.0236222016,-51.1981625796,R VINTE QUATRO DE OUTUBRO,R QUINTINO BOCAIUVA,ABALROAMENTO,0,2007-01-02T14:50:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,LESTE,2,1,2007,14,1
38,-30.0506989329,-51.2182285366,AV ERICO VERISSIMO,,QUEDA,0,2007-01-02T15:00:00,TERCA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,BOM,DIA,CENTRO,2,1,2007,15,5
39,-30.0375616577,-51.2292853411,R WASHINGTON LUIZ,,ABALROAMENTO,0,2007-01-02T15:40:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,2,1,2007,15,1
40,-30.0237707397,-51.2218858901,R CEL VICENTE,,ABALROAMENTO,0,2007-01-02T15:40:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,CENTRO,2,1,2007,15,5
41,-30.1227705853,-51.2527598429,AV CEL MARCOS,AV WENCESLAU ESCOBAR,ABALROAMENTO,0,2007-01-02T16:00:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,BOM,DIA,SUL,2,1,2007,16,1
42,-30.0402623206,-51.1959239792,R VICENTE DA FONTOURA,,COLISAO,0,2007-01-02T16:08:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,2,1,2007,16,1
43,-30.0257608597,-51.2161928678,R GARIBALDI,,ABALROAMENTO,0,2007-01-02T16:10:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,CENTRO,2,1,2007,16,1
44,-29.999165936,-51.2061070527,R VOLUNTARIOS DA PATRIA,AV SERTORIO,ABALROAMENTO,0,2007-01-02T16:35:00,TERCA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,2,1,2007,16,1
45,-30.0679236108,-51.1874605822,AV CEL APARICIO BORGES,,ABALROAMENTO,0,2007-01-02T16:55:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,LESTE,2,1,2007,16,1
