LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS
-30.08736778,-51.13192036,ESTR JOAO DE OLIVEIRA REMIAO,,CHOQUE,0,2005-01-01T01:35:00,SABADO,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2005,1,5
-30.14424353,-51.1067495,ESTR JOAO ANTONIO SILVEIRA,,COLISAO,0,2005-01-01T02:13:00,SABADO,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2005,2,5
-30.04767237,-51.1438485,AV ANTONIO CARVALHO,,CAPOTAGEM,0,2005-01-01T03:43:00,SABADO,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2005,3,5
-30.05463231,-51.1999294,AV BENTO GONCALVES,,CHOQUE,0,2005-01-01T05:09:00,SABADO,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2005,5,1
-30.08343363,-51.24129168,AV CHUI,,CHOQUE,0,2005-01-01T05:20:00,SABADO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2005,5,5
-30.01053211,-51.1484486,AV ASSIS BRASIL,,CHOQUE,0,2005-01-01T07:05:00,SABADO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,1,1,2005,7,5
-30.05782316,-51.20836759,R GUILHERME SCHELL,,CHOQUE,0,2005-01-01T11:50:00,SABADO,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,1,1,2005,11,1
-30.0106459,-51.15929074,AV ASSIS BRASIL,R DOMINGOS RUBBO,ABALROAMENTO,0,2005-01-01T12:30:00,SABADO,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,NORTE,1,1,2005,12,1
-30.05367333,-51.14707169,AV ANTONIO CARVALHO,,ABALROAMENTO,0,2005-01-01T18:00:00,SABADO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,1,1,2005,18,5
-30.04154414,-51.15406147,AV PROTASIO ALVES,,EVENTUAL,0,2005-01-01T20:15:00,SABADO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2005,20,1
-29.95969261,-51.11105681,AV ASSIS BRASIL,,ABALROAMENTO,0,2005-01-01T20:30:00,SABADO,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,1,1,2005,20,5
-30.02627819,-51.19953467,AV GOETHE,,COLISAO,0,2005-01-01T23:10:00,SABADO,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,1,1,2005,23,5
-30.02557751,-51.18272143,R ANITA GARIBALDI,AV CARLOS GOMES,COLISAO,0,2005-01-01T23:50:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2005,23,1
-30.04387312,-51.20715022,AV IPIRANGA,R RAMIRO BARCELOS,ABALROAMENTO,0,2005-01-02T06:30:00,DOMINGO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,2,1,2005,6,1
-30.11030103,-51.22698519,AV DA CAVALHADA,,COLISAO,0,2005-01-02T13:44:00,DOMINGO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,2,1,2005,13,1
-30.04785319,-51.20433728,R DOMINGOS CRESCENCIO,R SAO LUIZ,ABALROAMENTO,0,2005-01-02T17:15:00,DOMINGO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,2,1,2005,17,1
-30.08827996,-51.12308727,R CAPITAO CARLOS LAMARCA,,COLISAO,0,2005-01-02T22:00:00,DOMINGO,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,2,1,2005,22,5
-30.12251411,-51.17477583,ESTR COSTA GAMA,,ABALROAMENTO,0,2005-01-02T23:00:00,DOMINGO,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,2,1,2005,23,5
-30.02416375,-51.22119689,AV JULIO DE CASTILHOS,,COLISAO,0,2005-01-03T01:20:00,SEGUNDA-FEIRA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,BOM,NOITE,CENTRO,3,1,2005,1,1
-30.00518912,-51.19817011,R CAIRU,,ABALROAMENTO,0,2005-01-03T03:15:00,SEGUNDA-FEIRA,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,BOM,NOITE,NORTE,3,1,2005,3,5
