ID,LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS,
16,-30.0098557134,-51.1687118445,R ACORES,R BARAO DE ITAQUI,ABALROAMENTO,0,2009-01-02T18:20:00,SEXTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,2,1,2009,18,1,
17,-30.0325998312,-51.2192430834,AV OSVALDO ARANHA,,ABALROAMENTO,0,2009-01-02T19:27:00,SEXTA-FEIRA,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,BOM,NOITE,CENTRO,2,1,2009,19,5,
18,-30.047038643,-51.2322406235,AV IPIRANGA,,CAPOTAGEM,0,2009-01-02T21:20:00,SEXTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CHUVOSO,NOITE,CENTRO,2,1,2009,21,5,
19,-30.0749943592,-51.2020049528,AV PROF OSCAR PEREIRA,,ABALROAMENTO,0,2009-01-02T21:45:00,SEXTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,CHUVOSO,NOITE,SUL,2,1,2009,21,5,
20,-30.0104323211,-51.1376594577,AV BALTAZAR DE OLIVEIRA GARCIA,,CHOQUE,0,2009-01-02T21:45:00,SEXTA-FEIRA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CHUVOSO,NOITE,NORTE,2,1,2009,21,1,
21,-30.035100325,-51.1944978278,R CABRAL,AV CEL LUCAS DE OLIVEIRA,QUEDA,0,2009-01-02T22:15:00,SEXTA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,2,1,2009,22,5,
22,-30.0591389963,-51.2169367374,AV ERICO VERISSIMO,AV DA AZENHA,ABALROAMENTO,0,2009-01-02T22:18:00,SEXTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,2,1,2009,22,5,
23,-30.0107743654,-51.135460438,R DONA ADDA MASCARENHAS DE MORAES,,COLISAO,0,2009-01-02T22:30:00,SEXTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,CHUVOSO,NOITE,NORTE,2,1,2009,22,1,
24,-30.0293408969,-51.2151189461,AV INDEPENDENCIA,,ATROPELAMENTO,0,2009-01-02T22:45:00,SEXTA-FEIRA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,CENTRO,2,1,2009,22,13,
25,-29.9878844408,-51.1262727307,AV ALCIDES MAIA,,COLISAO,0,2009-01-02T23:30:00,SEXTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,CHUVOSO,NOITE,NORTE,2,1,2009,23,1,
26,-30.0216008596,-51.2152337482,R VOLUNTARIOS DA PATRIA,,EVENTUAL,0,2009-01-03T01:00:00,SABADO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,CENTRO,3,1,2009,1,1,
27,-30.0131856066,-51.123636347,AV BALTAZAR DE OLIVEIRA GARCIA,,CHOQUE,0,2009-01-03T01:00:00,SABADO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CHUVOSO,NOITE,NORTE,3,1,2009,1,5,
28,-30.0386087176,-51.1751726681,AV PROTASIO ALVES,,CHOQUE,0,2009-01-03T01:10:00,SABADO,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CHUVOSO,NOITE,LESTE,3,1,2009,1,5,
29,-30.1043240681,-51.1724483259,AV PROF OSCAR PEREIRA,,ABALROAMENTO,0,2009-01-03T06:10:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,CHUVOSO,DIA,SUL,3,1,2009,6,1,
30,-30.0105810175,-51.1532766635,AV DO FORTE,,CHOQUE,0,2009-01-03T06:40:00,SABADO,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,CHUVOSO,DIA,NORTE,3,1,2009,6,1,
31,-30.0476040514,-51.211435369,AV JOAO PESSOA,,COLISAO,0,2009-01-03T06:45:00,SABADO,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,3,1,2009,6,1,
32,-30.0640449181,-51.1707942665,R DONA FIRMINA,R SALDANHA DA GAMA,ABALROAMENTO,0,2009-01-03T08:55:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,LESTE,3,1,2009,8,1,
33,-29.9990971144,-51.1969439325,R DONA MARGARIDA,AV PERNAMBUCO,ABALROAMENTO,0,2009-01-03T09:20:00,SABADO,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,CHUVOSO,DIA,NORTE,3,1,2009,9,5,
34,-29.9975492701,-51.1372831215,AV DOS GAUCHOS,,ABALROAMENTO,0,2009-01-03T09:20:00,SABADO,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,BOM,DIA,NORTE,3,1,2009,9,1,
35,-29.9913767942,-51.1089365963,AV FRANCISCO SILVEIRA BITENCOURT,AV BERNARDINO SILVEIRA DE AMORIM,ABALROAMENTO,0,2009-01-03T09:25:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,CHUVOSO,DIA,NORTE,3,1,2009,9,1,
36,-30.0317615172,-51.2351432673,R DOS ANDRADAS,R GEN BENTO MARTINS,ABALROAMENTO,0,2009-01-03T10:30:00,SABADO,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,CHUVOSO,DIA,CENTRO,3,1,2009,10,1,
37,-30.1039492372,-51.2662315315,AV GUAIBA,,QUEDA,0,2009-01-03T10:35:00,SABADO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,3,1,2009,10,1,
38,-30.0255649282,-51.2126338167,AV CRISTOVAO COLOMBO,,CHOQUE,0,2009-01-03T10:45:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,CHUVOSO,DIA,CENTRO,3,1,2009,10,1,
39,-30.0896411032,-51.2185315445,AV NONOAI,,COLISAO,0,2009-01-03T11:30:00,SABADO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,CHUVOSO,DIA,SUL,3,1,2009,11,5,
40,-30.1580828367,-51.1454843622,ESTR JOAO ANTONIO SILVEIRA,R CLARA NUNES,COLISAO,0,2009-01-03T11:45:00,SABADO,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,CHUVOSO,DIA,SUL,3,1,2009,11,1,
41,-30.0394797027,-51.1248130386,AV PROTASIO ALVES,,ATROPELAMENTO,0,2009-01-03T12:20:00,SABADO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CHUVOSO,DIA,LESTE,3,1,2009,12,5,
